Rank	Query#	Scores	Document#	Snippet of text#	Valid ranks count
10	100	0.15	787	rayleighs problem for a cylinder of arbitrary shape	938
*********************************************************************************
1	101	0.7	527	note on the threepoint boundary layer problem for the blasius equations	1056
2	101	0.52	320	comment on improved numerical solution of the blasius problem with threepoint boundary conditions	1056
3	101	0.43	321	improved numerical solution of the blasius problem with threepoint boundary conditions	1056
4	101	0.43	322	on the numerical solution of the blasius problem with threepoint boundary conditions	1056
5	101	0.29	107	on the mixing of two parallel streams	1056
6	101	0.27	476	the blasius equation with threepoint boundary conditions	1056
7	101	0.23	350	laminar jet mixing of two compressible fluids with heat release	1056
8	101	0.23	11	similar solutions in compressible laminar free mixing problems	1056
9	101	0.2	960	investigation of free turbulent mixing	1056
10	101	0.2	243	investigation with an interferometer of the turbulent mixing of a free supersonic jet	1056
*********************************************************************************
1	102	0.4	564	local heat transfer and recovery temperature on a yawed cylinder at a mach number of 4 15 and high reynolds numbers	651
2	102	0.37	333	boundarylayer interaction on a yawed infinite wing in hypersonic flow	651
3	102	0.36	566	investigation of local heat transfer and pressure drag characteristics of a yawed circular cylinder at supersonic speeds	651
4	102	0.36	1213	heat transfer to slender cones in hypersonic flow including effects of yaw and nose bluntness	651
5	102	0.33	539	local heat transfer to a yawed infite circular cylinder in laminar compressible flow	651
6	102	0.26	565	similar solutions for the compressible boundary layer on a yawed cylinder with transpiration cooling	651
7	102	0.25	435	application of similar solutions to calculations of laminar heat transfer on bodies with yaw and large pressure gradients in high speed flow	651
8	102	0.22	1309	hypersonic flows past a yawed circular cone and other pointed bodies	651
9	102	0.19	784	heat transfer through the laminar boundary layer on a circular cylinder in axial incompressible flow	651
10	102	0.18	1192	an integral method for calculation of supersonic laminar boundary layer with heat transfer on yawed cone	651
*********************************************************************************
1	103	0.35	1383	on the theory of laminar boundary layer involving separation	1122
2	103	0.29	789	a further note on the calculation of heat transfer through the axisymmetrical laminar boundary layer on a circular cylinder	1122
3	103	0.28	483	stagnation point shock detachment distance for flow around spheres and cylinder	1122
4	103	0.27	785	the flow of fluid along cylinders	1122
5	103	0.26	116	the elliptic cylinder in a shear flow with hyperbolic velocity profile	1122
6	103	0.26	381	the axisymmetric boundary layer on a long thin cylinder	1122
7	103	0.26	659	nonuniform shear flow past cylinders	1122
8	103	0.25	784	heat transfer through the laminar boundary layer on a circular cylinder in axial incompressible flow	1122
9	103	0.25	382	a note on the laminar boundary layer on a circular cylinder in axial incompressible flow	1122
10	103	0.24	1046	the bending strength of pressurized cylinders	1122
*********************************************************************************
1	104	0.28	678	the effect of end plates on swept wings	888
2	104	0.28	738	finding zeros of arbitrary functions	888
3	104	0.25	843	a simplified method of elastic stability analysis for thin cylindrical shells	888
4	104	0.24	1045	the bending strength of pressurized cylinders	888
5	104	0.22	491	on the close relationship between turbulent planecouette and pressure flows	888
6	104	0.21	1046	the bending strength of pressurized cylinders	888
7	104	0.2	204	a study of the application of airfoil section data to the estimation of the high subsonic speed characteristics of swept wings	888
8	104	0.19	839	the bending stability of thin walled unstiffened circular cylinders including the effects of internal pressure	888
9	104	0.19	472	waves in supersonic flow	888
10	104	0.18	420	an experimental study of the flow field about swept and delta wings with sharp leading edges	888
*********************************************************************************
1	105	0.23	390	some panelflutter studies using piston theory	646
2	105	0.21	878	experimental model techniques and equipment for flutter investigations	646
3	105	0.21	52	procedure for calculating flutter at high supersonic speed including camber deflections and comparison with experimental results	646
4	105	0.2	391	flutter of rectangular simply supported panels at high supersonic speeds	646
5	105	0.2	914	transtability flutter of supersonic aircraft panels	646
6	105	0.2	1111	some research on high speed flutter	646
7	105	0.19	15	on twodimensional panel flutter	646
8	105	0.18	593	theoretical considerations of flutter at high mach number	646
9	105	0.17	202	aircraft flutter	646
10	105	0.16	1339	calculation of flutter characteristics for finitespan swept or unswept wings at subsonic and supersonic speeds by a modified strip analysis	646
*********************************************************************************
1	106	0.57	3	the boundary layer in simple shear flow past a flat plate	1088
2	106	0.48	388	the pressure gradient induced by shear flow past a flat plate	1088
3	106	0.43	393	the shear flow along a flat plate with uniform suction	1088
4	106	0.42	4	approximate solutions of the incompressible laminar boundary layer equations for a plate in shear flow	1088
5	106	0.38	664	the boundary layer on a flat plate in a stream with uniform shear	1088
6	106	0.35	569	an experimental investigation of leading edge shock wave boundary layer interaction at mach 58	1088
7	106	0.33	180	boundary layer over a flat plate in presence of shear flow	1088
8	106	0.3	389	simple shear flow past a flat plate in a compressible viscous fluid	1088
9	106	0.28	1386	analysis and calculation by integral methods of laminar compressible boundary layer with heat transfer and with and without pressure gradient	1088
10	106	0.25	1107	the flow field over blunted flat plates and its effect on turbulent boundary growth and heat transfer at a mach number of 4 7	1088
*********************************************************************************
1	107	0.3	128	effects of free stream vorticity on the behaviour of a viscous boundary layer	1082
2	107	0.26	664	the boundary layer on a flat plate in a stream with uniform shear	1082
3	107	0.25	305	hypersonic strong viscous interaction on a flat plate with surface mass transfer	1082
4	107	0.24	1251	viscous flow past a quarter infinite plate	1082
5	107	0.22	590	effects of stage characteristics and matching on axial flow compressor performance	1082
6	107	0.19	310	hypersonic viscous flow over a flat plate	1082
7	107	0.18	133	some effects of surface curvature on laminar boundary layer flow	1082
8	107	0.17	629	secondorder effects in laminar boundary layers	1082
9	107	0.17	389	simple shear flow past a flat plate in a compressible viscous fluid	1082
10	107	0.17	1182	an approximate solution for laminar boundary layer flow	1082
*********************************************************************************
1	108	0.42	393	the shear flow along a flat plate with uniform suction	1055
2	108	0.41	4	approximate solutions of the incompressible laminar boundary layer equations for a plate in shear flow	1055
3	108	0.4	3	the boundary layer in simple shear flow past a flat plate	1055
4	108	0.36	664	the boundary layer on a flat plate in a stream with uniform shear	1055
5	108	0.32	180	boundary layer over a flat plate in presence of shear flow	1055
6	108	0.3	458	a new series for calculation of steady laminar boundary layer flows	1055
7	108	0.29	389	simple shear flow past a flat plate in a compressible viscous fluid	1055
8	108	0.28	149	expansions at small reynolds number for the flow past a sphere and a circular cylinder	1055
9	108	0.27	128	effects of free stream vorticity on the behaviour of a viscous boundary layer	1055
10	108	0.25	1398	stability of rectangular plates under shear and bending forces	1055
*********************************************************************************
1	109	0.44	628	thermal effects on a transpiration cooled hemisphere	567
2	109	0.32	343	transpiration cooling experiments in a turbulent boundary layer at m3	567
3	109	0.27	662	theoretical and experimental investigation of aerodynamicheating and isothermal heat transfer parameters on a hemisphere nose with laminar boundary layer at supersonic mach numbers	567
4	109	0.23	480	adiabatic wall temperature due to mass transfer cooling with a combustible gas	567
5	109	0.22	1237	foreigngas injection into a compressible turbulent boundary layer on a flat plate	567
6	109	0.22	974	approximate analysis of thrust vector control by fluid injection	567
7	109	0.21	365	the homogeneous boundary layer at an axisymmetric stagnation point with large rates of injection	567
8	109	0.21	338	mass transfer cooling at mach number 4 8	567
9	109	0.21	125	measurements of skin friction of the compressible turbulent boundary layer on a cone with foreign gas injection	567
10	109	0.2	344	some experimental techniques in mass transfer cooling	567
*********************************************************************************
1	110	0.31	264	asymptotic solution of the two dimensional oscillating aerofoil problem for high subsonic mach numbers	799
2	110	0.27	664	the boundary layer on a flat plate in a stream with uniform shear	799
3	110	0.26	1138	asymptotic solutions of toroidal shell problems	799
4	110	0.26	1383	on the theory of laminar boundary layer involving separation	799
5	110	0.25	105	the asymptotic boundary layer on a circular cylinder in axial incompressible flow	799
6	110	0.24	540	use of local similarity concepts in hypersonic viscous interaction problems	799
7	110	0.22	4	approximate solutions of the incompressible laminar boundary layer equations for a plate in shear flow	799
8	110	0.22	310	hypersonic viscous flow over a flat plate	799
9	110	0.21	365	the homogeneous boundary layer at an axisymmetric stagnation point with large rates of injection	799
10	110	0.21	1137	on the theory of thin elastic toroidal shells	799
*********************************************************************************
1	111	0.33	540	use of local similarity concepts in hypersonic viscous interaction problems	847
2	111	0.33	1149	similar temperature boundary layers	847
3	111	0.27	300	on a particular class of similar solutions of the equations of motion and energy of a viscous fluid	847
4	111	0.26	180	boundary layer over a flat plate in presence of shear flow	847
5	111	0.26	320	comment on improved numerical solution of the blasius problem with threepoint boundary conditions	847
6	111	0.24	192	on the hypersonic viscous flow past slender bodies of revolution	847
7	111	0.24	4	approximate solutions of the incompressible laminar boundary layer equations for a plate in shear flow	847
8	111	0.22	435	application of similar solutions to calculations of laminar heat transfer on bodies with yaw and large pressure gradients in high speed flow	847
9	111	0.21	327	on local flat plate similarity in the hypersonic boundary layer	847
10	111	0.21	349	numerical solution of the boundary layer equations without similarity assumptions	847
*********************************************************************************
1	112	0.48	540	use of local similarity concepts in hypersonic viscous interaction problems	900
2	112	0.41	305	hypersonic strong viscous interaction on a flat plate with surface mass transfer	900
3	112	0.35	170	the interaction of a reflected shock wave with the boundary layer in a shock tube	900
4	112	0.34	570	on the boundary layer equations in hypersonic flow and their approximate solutions	900
5	112	0.32	573	viscous hypersonic similitude	900
6	112	0.32	310	hypersonic viscous flow over a flat plate	900
7	112	0.29	537	stagnation point viscous hypersonic flow	900
8	112	0.27	1253	hypersonic viscous flow near the stagnation point in the presence of magnetic field	900
9	112	0.25	134	note on an interaction between the boundary layer and the inviscid flow	900
10	112	0.25	1364	an experimental investigation of the interaction between shock waves and boundary layers	900
*********************************************************************************
1	113	0.35	540	use of local similarity concepts in hypersonic viscous interaction problems	1006
2	113	0.3	170	the interaction of a reflected shock wave with the boundary layer in a shock tube	1006
3	113	0.27	666	blunt body heat transfer at hypersonic speed and low reynolds numbers	1006
4	113	0.27	305	hypersonic strong viscous interaction on a flat plate with surface mass transfer	1006
5	113	0.27	310	hypersonic viscous flow over a flat plate	1006
6	113	0.25	570	on the boundary layer equations in hypersonic flow and their approximate solutions	1006
7	113	0.24	663	viscous flow along a flat plate moving at high speeds	1006
8	113	0.24	238	on a determination of the pitotstatic tube factor at low reynolds numbers with special reference to the measurement of low air speeds	1006
9	113	0.23	139	viscous effects on pitot tubes at low speeds	1006
10	113	0.23	1078	the steady flow of a viscous fluid past a circular cylinder at reynolds numbers 40 and 44	1006
*********************************************************************************
1	114	0.42	332	similitude of hypersonic realgas flows over slender bodies with blunted noses	1100
2	114	0.38	573	viscous hypersonic similitude	1100
3	114	0.28	541	similitude of hypersonic flows over slender bodies in nonequilibrium dissociated gases	1100
4	114	0.22	572	boundary layer displacement and leading edge bluntness effects in high temperature hypersonic flow	1100
5	114	0.21	552	chemical kinetics of high temperature air	1100
6	114	0.21	359	note on the hypersonic similarity law for an unyawed cone	1100
7	114	0.2	410	the supersonic flow about a blunt body of revolution for gases at chemical equilibrium	1100
8	114	0.18	1010	freeflight measurements of the static and dynamic	1100
9	114	0.18	401	inviscid hypersonic airflows with coupled nonequilibrium processes	1100
10	114	0.17	577	on hypersonic similitude	1100
*********************************************************************************
1	116	0.27	1153	a study of the simulation of flow with free stream mach number 1 in a choked wind tunnel	879
2	116	0.26	625	viscous and inviscid nonequilibrium gas flows	879
3	116	0.25	876	on flutter testing in high speed wind tunnels	879
4	116	0.24	68	some aspects of airhelium simulation and hypersonic approximations	879
5	116	0.23	26	inviscid leadingedge effect in hypersonic flow	879
6	116	0.23	656	departure from dissociation equilibrium in a hypersonic nozzle	879
7	116	0.22	1295	recent advances in nonequilibrium dissociating gasdynamics	879
8	116	0.18	317	nonequilibrium flow of an ideal dissociating gas	879
9	116	0.17	594	wind tunnel techniques for the measurements of oscillatory derivatives	879
10	116	0.16	493	realgas laminar boundary layer skin friction and heat transfer	879
*********************************************************************************
1	118	0.18	565	similar solutions for the compressible boundary layer on a yawed cylinder with transpiration cooling	1099
2	118	0.15	324	vorticity effect on the stagnation point flow of a viscous incompressible fluid	1099
3	118	0.15	629	secondorder effects in laminar boundary layers	1099
4	118	0.14	584	conduction of heat in a solid with a power law of heat transfer at its surface	1099
5	118	0.14	396	variational and lagrangian thermodynamics of thermal convectionfundamental shortcomings of the heat transfer coefficient	1099
6	118	0.14	180	boundary layer over a flat plate in presence of shear flow	1099
7	118	0.14	306	second approximation to laminar compressible boundary layer on flat plate in slip flow	1099
8	118	0.13	902	some current and proposed investigations into the flow for slender delta and other wings in unsteady motion	1099
9	118	0.13	501	stagnationpoint shock detachment of blunt bodies in supersonic flow	1099
10	118	0.13	645	thermodynamic coupling in boundary layers	1099
*********************************************************************************
1	119	0.3	565	similar solutions for the compressible boundary layer on a yawed cylinder with transpiration cooling	1089
2	119	0.23	630	stagnation region in rarefied high mach number flow	1089
3	119	0.18	666	blunt body heat transfer at hypersonic speed and low reynolds numbers	1089
4	119	0.17	537	stagnation point viscous hypersonic flow	1089
5	119	0.17	1076	an approximate method for determining the displacement effects and viscous drag of laminar boundary layers in twodimensional hypersonic flow	1089
6	119	0.17	50	investigation of laminar boundary layer in compressible fluids using the crocco method	1089
7	119	0.16	1394	stagnation point heat transfer measurements in hypersonic low density flow	1089
8	119	0.16	668	measurements of stagnation point heat transfer at low reynolds number	1089
9	119	0.16	667	hypersonic shock layer theory of the stagnation region at low reynolds number	1089
10	119	0.15	238	on a determination of the pitotstatic tube factor at low reynolds numbers with special reference to the measurement of low air speeds	1089
*********************************************************************************
1	120	0.32	667	hypersonic shock layer theory of the stagnation region at low reynolds number	1083
2	120	0.3	1391	shock wave and flow field development in hypersonic reentry	1083
3	120	0.29	1264	boundary layer transition and heat transfer in shock tubes	1083
4	120	0.26	329	various aerodynamic characteristics in hypersonic rarefied gas flow	1083
5	120	0.24	134	note on an interaction between the boundary layer and the inviscid flow	1083
6	120	0.23	668	measurements of stagnation point heat transfer at low reynolds number	1083
7	120	0.23	170	the interaction of a reflected shock wave with the boundary layer in a shock tube	1083
8	120	0.19	537	stagnation point viscous hypersonic flow	1083
9	120	0.19	504	stability of compressible boundary layers induced by a moving wave	1083
10	120	0.18	345	the interaction of shock waves with boundary layer on a flat surface	1083
*********************************************************************************
1	121	0.39	589	some stall and surge phenomena in axial flow compressors	230
2	121	0.27	543	the stacking of compressor stage characteristics to give an overall compressor performance map	230
3	121	0.23	591	an approximate equation for the choke line of a compressor	230
4	121	0.22	216	the supersonic axial flow compressor	230
5	121	0.22	588	compressor operation with one or more blade rows stalled	230
6	121	0.18	578	dissociation scaling for nonequilibrium blunt nose flows	230
7	121	0.18	237	a compressor routine test code	230
8	121	0.18	138	wakes in axial compressors	230
9	121	0.17	592	design of axial compressors	230
10	121	0.15	214	on the testing of supersonic compressor cascades	230
*********************************************************************************
1	122	0.27	544	a theoretical and experimental study of oscillating wedge shaped aerofoils in hypersonic flow	1083
2	122	0.26	19	an investigation of the pressure distribution on conical bodies in hypersonic flows	1083
3	122	0.24	567	aerodynamic characteristics of a circular cylinder at mach number of 6 86 and angles of attack up to 90	1083
4	122	0.23	199	measurement of two dimensional derivatives on a wingailerontab system	1083
5	122	0.2	1310	survey of inviscid hypersonic flow theory for geometrically slender shapes	1083
6	122	0.19	1066	wind tunnel measurements of aerodynamic damping derivatives of a launch vehicle vibrating in freefree bending modes at mach numbers from 0 70 to 2 87 and comparisons with theory	1083
7	122	0.18	360	lift on inclined bodies of revolution in hypersonic flow	1083
8	122	0.18	556	numerical comparison between exact and approximate theories of hypersonic inviscid flow past slender blunt nosed bodies	1083
9	122	0.17	670	on bluntbody heat transfer at hypersonic speed and low reynolds number	1083
10	122	0.17	413	turbulent skin friction at high mach numbers and reynolds numbers in air and helium nasa r82 1960	1083
*********************************************************************************
1	123	0.24	544	a theoretical and experimental study of oscillating wedge shaped aerofoils in hypersonic flow	887
2	123	0.22	604	the 7 in x 7 in hypersonic wind tunnel at rae farnborough part iii calibration of the flow in the working section	887
3	123	0.2	546	measurements of aerodynamic heating on a 15 cone of graded wall thickness at a mach number of 6 8	887
4	123	0.15	875	models for aeroelastic investigation	887
5	123	0.13	602	the 7 x 7 in hypersonic wind tunnel at rae farnborough part 1 design instrumentation and flow visualization techniques	887
6	123	0.12	107	on the mixing of two parallel streams	887
7	123	0.12	917	a method of calculating the short period longitudinal stability derivatives of a wing in linearised unsteady compressible flow	887
8	123	0.12	879	flutter model testing at transonic speeds	887
9	123	0.11	301	approximate design of sharpcornered supersonic nozzles	887
10	123	0.1	1378	bluntcone pressure distributions at hypersonic mach numbers	887
*********************************************************************************
1	126	0.27	652	pressure distribution on two dimensional wings near the ground	384
2	126	0.27	249	formulae for the computation of the functions employed for calculating the velocity distribution about a given aerofoil	384
3	126	0.27	206	the applications of the polygon method to the calculation of the compressible subsonic flow round twodimensional profiles	384
4	126	0.25	714	blockage corrections for threedimensional flow closed throat wind tunnels with considerations of the effect of compressibility	384
5	126	0.23	799	some effects of windtunnel interference observed in tests on twodimensional aerofoils at high subsonic and transonic speeds	384
6	126	0.22	203	calculated velocity distributions and force derivatives for a series of highspeed aerofoils	384
7	126	0.2	672	tunnel interference effects	384
8	126	0.18	631	low speed wind tunnel tests on a two dimensional aerofoil with split flap near the ground	384
9	126	0.18	676	a simple method for calculating the span and chordwise loading on straight and swept wings of any aspect ratio at subsonic speeds	384
10	126	0.15	468	a refinement of the linearised transonic flow theory	384
*********************************************************************************
1	128	0.34	678	the effect of end plates on swept wings	1169
2	128	0.24	1334	calculated spanwise lift distributions and aerodynamic influence coefficients for swept wings in subsonic flow	1169
3	128	0.23	676	a simple method for calculating the span and chordwise loading on straight and swept wings of any aspect ratio at subsonic speeds	1169
4	128	0.21	1339	calculation of flutter characteristics for finitespan swept or unswept wings at subsonic and supersonic speeds by a modified strip analysis	1169
5	128	0.19	420	an experimental study of the flow field about swept and delta wings with sharp leading edges	1169
6	128	0.19	698	the unsteady lift of a wing of finite aspect ratio	1169
7	128	0.18	465	slender delta wings with sharp edges at zero lift	1169
8	128	0.17	699	approximate indical lift functions for several wings of finite span in incompressible flow as obtained from oscillatory lift coefficients	1169
9	128	0.16	1337	study of effects of sweep on the flutter of cantilever wings	1169
10	128	0.15	632	calculated lift distributions in incompressible flow on some sweptback wings	1169
*********************************************************************************
1	130	0.27	680	generalized conical flow fields in supersonic wing theory	1102
2	130	0.13	1275	flow about an unsteadily rotating disc	1102
3	130	0.12	1053	spherical cap snapping	1102
4	130	0.08	1060	buckled states of circular plates	1102
5	130	0.08	385	on a generalised porouswall couette type flow	1102
6	130	0.08	24	theory of stagnation point heat transfer in dissociated air	1102
7	130	0.08	286	effect of roll on dynamic instability of symmetric missiles	1102
8	130	0.07	855	simplified formulas for boundary value problems of the thin walled circular cylinder	1102
9	130	0.06	335	the interaction between boundary layer and shock waves in transonic flow	1102
10	130	0.06	509	a graphical approximation for temperatures and sublimation rates at surfaces subjected to small net and large gross heat transfer rates	1102
*********************************************************************************
1	131	0.3	294	an investigation of laminar transitional and turbulent heat transfer on bluntnosed bodies in hypersonic flow	1142
2	131	0.28	21	on heat transfer in slip flow	1142
3	131	0.24	522	laminar transitional and turbulent heat transfer to a conecylinderflare body at mach 8 0	1142
4	131	0.24	398	heat transfer in turbulent shear flow	1142
5	131	0.23	554	generalized heat transfer formulas and graphs	1142
6	131	0.23	688	tables of aerodynamic coefficients obtained from developed newtonian expressions for complete and partial conic and spheric bodies at combined angles of attack and sideslip with some comparisons with hypersonic experimental data	1142
7	131	0.22	633	an extension of the method of generalised conical flows for lifting wings in supersonic flow	1142
8	131	0.22	872	fundamentals of boundary layer heat transfer with streamwise temperature variations	1142
9	131	0.21	378	engineering relations for friction and heat transfer to surfaces in high velocity flow	1142
10	131	0.21	1070	buckling of orthotropic and stiffened conical shells	1142
*********************************************************************************
1	132	0.32	294	an investigation of laminar transitional and turbulent heat transfer on bluntnosed bodies in hypersonic flow	995
2	132	0.29	1155	some experimental investigations on the influence of wall boundary layers upon wind tunnel measurements at high subsonic speeds	995
3	132	0.28	418	transition form laminar to turbulent shear flow	995
4	132	0.27	1153	a study of the simulation of flow with free stream mach number 1 in a choked wind tunnel	995
5	132	0.25	315	scale effects at high subsonic and transonic speeds and methods for fixing transition in model experiments	995
6	132	0.25	272	oscillatory aerodynamic coefficients for a unified supersonic hypersonic strip theory	995
7	132	0.25	594	wind tunnel techniques for the measurements of oscillatory derivatives	995
8	132	0.23	522	laminar transitional and turbulent heat transfer to a conecylinderflare body at mach 8 0	995
9	132	0.23	876	on flutter testing in high speed wind tunnels	995
10	132	0.23	207	laminar boundary layer oscillations and transition on a flat plate	995
*********************************************************************************
1	133	0.51	594	wind tunnel techniques for the measurements of oscillatory derivatives	1005
2	133	0.47	755	oscillatory derivative measurements on stingmounted wind tunnel models method of test and results for pitch and yaw on a cambered ogee wing at mach numbers up to 2 6	1005
3	133	0.22	716	study of the oscillatory motion of manned vehicles entering the earths atmosphere	1005
4	133	0.21	1155	some experimental investigations on the influence of wall boundary layers upon wind tunnel measurements at high subsonic speeds	1005
5	133	0.2	790	a windtunnel test technique for measuring the dynamic rotary stability derivatives at subsonic and supersonic speeds	1005
6	133	0.19	1153	a study of the simulation of flow with free stream mach number 1 in a choked wind tunnel	1005
7	133	0.17	431	freeflight measurements of the zerolift drag and base pressure on a wind tunnel interference model m0 8 1 5	1005
8	133	0.17	1272	oscillatory aerodynamic coefficients for a unified supersonic hypersonic strip theory	1005
9	133	0.17	516	freeflight measurements of the dynamic longitudinal stability characteristics of a wind tunnel interference model m0 92 to 1 35	1005
10	133	0.17	598	new test techniques for a hypervelocity wind tunnel	1005
*********************************************************************************
1	135	0.22	134	note on an interaction between the boundary layer and the inviscid flow	1125
2	135	0.22	1250	highspeed viscous corner flow	1125
3	135	0.2	547	boundary layer characteristics of caret wings	1125
4	135	0.19	569	an experimental investigation of leading edge shock wave boundary layer interaction at mach 58	1125
5	135	0.18	610	corner interference effects	1125
6	135	0.18	167	linearized flow of a dissociating gas	1125
7	135	0.17	334	influence of the leadingedge shock wave on the laminar boundary layer at hypersonic speeds	1125
8	135	0.17	736	the bending of a wedge shaped plate	1125
9	135	0.17	310	hypersonic viscous flow over a flat plate	1125
10	135	0.17	660	the fundamental solution for small steady three dimensional disturbances to a two dimensional parallel shear flow	1125
*********************************************************************************
1	136	0.48	613	the contraction of satellite orbits under the influence of air drag part i with spherically symmetrical atmosphere	492
2	136	0.44	548	the contraction of satellite orbits under the influence of air drag pt iv with scale height dependent on altitude	492
3	136	0.39	622	scale height in the upper atmosphere derived from changes in satellite orbits	492
4	136	0.38	615	the contraction of satellite orbits under the influence of air drag part iii high eccentricity orbits 02 e 1	492
5	136	0.37	616	determination of upperatmosphere air density and scale height from satellite observations	492
6	136	0.32	614	the contraction of satellite orbits under the influence of air drag	492
7	136	0.32	618	orbit decay and prediction of the motion of artificial satellites	492
8	136	0.31	617	determination of upperatmosphere air density profile from satellite observations	492
9	136	0.29	619	density of the upper atmosphere from analysis of satellite orbits further results	492
10	136	0.24	162	nearly circular transfer trajectories for descending satellites	492
*********************************************************************************
1	137	0.28	632	calculated lift distributions in incompressible flow on some sweptback wings	888
2	137	0.28	879	flutter model testing at transonic speeds	888
3	137	0.26	200	calculation of derivatives for a cropped delta wing with subsonic leading edges oscillating in a supersonic airstream	888
4	137	0.24	793	the flow pattern on a tapered sweptback wing at mach numbers between 06 and 16	888
5	137	0.22	52	procedure for calculating flutter at high supersonic speed including camber deflections and comparison with experimental results	888
6	137	0.22	250	pressure distributions at zero lift for delta wings with rhombic cross sections	888
7	137	0.22	794	experiments with a tapered sweptback wing of warren 12 planform at mach numbers between 06 and 16	888
8	137	0.22	465	slender delta wings with sharp edges at zero lift	888
9	137	0.22	699	approximate indical lift functions for several wings of finite span in incompressible flow as obtained from oscillatory lift coefficients	888
10	137	0.21	1290	measured and calculated subsonic and transonic flutter characteristics of a 45 sweptback wing planform in air and in freon12 in the langley transonic dynamics tunnel	888
*********************************************************************************
1	138	0.39	265	some instabilities arising from the interaction between shock waves and boundary layer	497
2	138	0.26	311	a method for predicting the onset of buffeting and other separation effects from wind tunnel tests on rigid models	497
3	138	0.22	1187	shockinduced boundary layer separation in overexpanded conical exhaust nozzles	497
4	138	0.18	187	investigation of separated flows in supersonic and subsonic streams with emphasis on the effect of transition	497
5	138	0.17	457	on laminar boundarylayer flow near a position of separation	497
6	138	0.17	996	extension of boundary layer separation criteria to a m6 5 utilizing flat plates with forwardfacing steps	497
7	138	0.15	959	heat transfer in separated flows	497
8	138	0.14	1239	body under lifting wing	497
9	138	0.14	415	the aerodynamic design of section shapes for swept wings	497
10	138	0.14	793	the flow pattern on a tapered sweptback wing at mach numbers between 06 and 16	497
*********************************************************************************
1	139	0.51	610	corner interference effects	673
2	139	0.37	252	an investigation of interference effects on similar models of different size in various transonic tunnels in the uk	673
3	139	0.31	526	leading edge attachment in transonic flow with laminar or turbulent boundary layers	673
4	139	0.3	799	some effects of windtunnel interference observed in tests on twodimensional aerofoils at high subsonic and transonic speeds	673
5	139	0.28	924	a method for calculating the lift and centre of pressure of wingbodytail combinations at subsonic transonic speeds	673
6	139	0.27	801	experimental study of the equivalence of transonic flow about slender conecylinders of circular and elliptic cross section	673
7	139	0.27	468	a refinement of the linearised transonic flow theory	673
8	139	0.27	1062	an experimental and theoretical investigation of secondorder wingbody interference at high mach number	673
9	139	0.27	672	tunnel interference effects	673
10	139	0.27	1153	a study of the simulation of flow with free stream mach number 1 in a choked wind tunnel	673
*********************************************************************************
1	140	0.32	810	the shock wave noise problem of supersonic aircraft in steady flight	581
2	140	0.31	1247	the supersonic boom of a projectile related to drag and volume	581
3	140	0.26	804	a flight test investigation of the sonic boom	581
4	140	0.26	806	ground measurements of airplane shock wave noise at mach numbers to 2 and at altitudes of 60000 feet	581
5	140	0.22	1331	calculated responses of a large sweptwing airplane to continuous turbulence with flighttest comparisons	581
6	140	0.21	1252	on the approach to chemical and vibrational equilibrium behind a strong normal shock wave	581
7	140	0.19	1243	supersonic boom of wingbody configurations	581
8	140	0.18	808	an investigation of some aspects of the sonic boom by means of wind tunnel measurements of pressures about several bodies at a mach number of 2 01	581
9	140	0.17	805	ground measurements of the shock wave noise from airplanes in level flight at mach numbers to 1 4 and at altitudes to 45000 feet	581
10	140	0.15	811	an investigation of lifting effects on the intensity of sonic booms	581
*********************************************************************************
1	141	0.63	635	heat transfer and pressure distributions on a hemispherecylinder and a bluffafterbody model in methaneair combustion products and in air	1113
2	141	0.31	691	calculation procedure for thermodynamic transport and flow properties of the combustion products of a hydrocarbon fuel mixture burned in air with results for ethyleneair and methaneair mixtures	1113
3	141	0.21	1072	ignition and combustion in a laminar mixing zone	1113
4	141	0.19	144	heat flow in composite slabs	1113
5	141	0.19	1314	production of high temperature gases in shock tubes	1113
6	141	0.15	68	some aspects of airhelium simulation and hypersonic approximations	1113
7	141	0.15	1241	the turbulent boundary layer on chemically active ablating surfaces	1113
8	141	0.14	1336	studies of the use of freon12 as a wind tunnel testing medium	1113
9	141	0.13	232	accuracy of approximate methods for predicting pressure on pointed nonlifting bodies of revolution in supersonic flow	1113
10	141	0.13	461	approximate methods fore predicting separation properties of laminar boundary layers	1113
*********************************************************************************
1	142	0.54	559	heat transfer at the forward stagnation point of blunt bodies	809
2	142	0.43	1393	heat transfer near the forward stagnation point of a body of revolution	809
3	142	0.35	983	addendum to heat transfer to satellite vehicles reentering the atmosphere	809
4	142	0.34	283	laminar heat transfer around blunt bodies in dissociated air	809
5	142	0.33	1161	stagnation point heat transfer measurements in dissociated air	809
6	142	0.33	1104	aerodynamic heating of blunt nose shapes at mach numbers up to 14	809
7	142	0.31	438	stagnation point heat transfer measurements at super satellite speeds	809
8	142	0.3	537	stagnation point viscous hypersonic flow	809
9	142	0.3	366	helium injection into the boundary layer at an axisymmetric stagnation point	809
10	142	0.29	84	experimental investigation of the downstream influence of stagnation point mass transfer	809
*********************************************************************************
1	143	0.36	662	theoretical and experimental investigation of aerodynamicheating and isothermal heat transfer parameters on a hemisphere nose with laminar boundary layer at supersonic mach numbers	716
2	143	0.32	535	shroud design for simulating hypersonic flow over the nose of a hemisphere	716
3	143	0.22	628	thermal effects on a transpiration cooled hemisphere	716
